http://www.google.cn/music/album?id=B8a8010991deb512e |《Endless Wire》|2099
http://www.google.cn/music/album?id=B7c82ae8c935790ee |《It's Hard》|2115
http://www.google.cn/music/album?id=Bd227b096ba9f7282 |《Join Together》|2149
http://www.google.cn/music/album?id=B475d8b74d17237c7 |《Odds & Sods》|2172
http://www.google.cn/music/album?id=B3900b66eddc71d67 |《Quadrophenia CD1》|2182
http://www.google.cn/music/album?id=B0d3aff6fd971ddec |《Quadrophenia CD2》|2189
http://www.google.cn/music/album?id=B5bfbe4e2cc86b1be |《The Who By Numbers》|2200
http://www.google.cn/music/album?id=B3fe3e324d28f310e |《The Who Sell Out》|2222
http://www.google.cn/music/album?id=B9f3f3244626476ab |《The Who Sings My Generation》|2234
http://www.google.cn/music/album?id=B888af79c3f84f1f8 |《Then And Now》|2254
http://www.google.cn/music/album?id=Bf960d77e5034d3af |《Tommy》|2278
http://www.google.cn/music/album?id=Bccb2b054496e4be0 |《Who's Better, Who's Best》|2297
http://www.google.cn/music/album?id=Bf19d4029df792d1b |《TNT》|2298
http://www.google.cn/music/album?id=B54380e0d605b7d16 |《The Razor's Edge》|2306
http://www.google.cn/music/album?id=B3a850908cec178ce |《Who Made Who》|2310
黑色安息日(Black Sabbath) albums 21
http://www.google.cn/music/album?id=Bf8eb5ba2e59c3379 |《Black Sabbath》|2316
http://www.google.cn/music/album?id=B09ff47405354e0d0 |《Black Sabbath Vol.4》|2326
http://www.google.cn/music/album?id=Bb6ba78bfa07adb51 |《Born Again》|2335
http://www.google.cn/music/album?id=B03283ea9291916f8 |《Classic Rock Series - Headless Cross》|2343
http://www.google.cn/music/album?id=Bfd885a7b929eb6e7 |《Dehumanizer》|2353
http://www.google.cn/music/album?id=B04125744654c1eba |《Forbidden》|2363
http://www.google.cn/music/album?id=B59a9dd41fff0c53d |《Heaven And Hell》|2371
http://www.google.cn/music/album?id=Bffb6330c2e574253 |《Master Of Reality》|2379
http://www.google.cn/music/album?id=Bbb6d92f07045c282 |《Never Say Die!》|2388
http://www.google.cn/music/album?id=B46758597561b46c9 |《Paranoid》|2396
http://www.google.cn/music/album?id=B24adf67e903157fe |《Sabbath Bloody Sabbath》|2404
http://www.google.cn/music/album?id=B58b05004b6435f12 |《Sabotage》|2412
http://www.google.cn/music/album?id=B6575d33b832d11aa |《Seventh Star》|2421
http://www.google.cn/music/album?id=Ba8cce9e4ffc67db5 |《Technical Ecstacy》|2428
http://www.google.cn/music/album?id=B5b5e45d1d16a4753 |《We Sold Our Soul For Rock 'N' Roll CD1》|2435
http://www.google.cn/music/album?id=B7ddfb45749b9c763 |《We Sold Our Soul For Rock 'N' Roll CD2》|2445
迪强苟 莱恩哈特(Django Reinhardt) albums 45
http://www.google.cn/music/album?id=B96a23fc7db5a12dd |《Américains, La Légende De Django Reinhardt》|2465
http://www.google.cn/music/album?id=Bead779357237fbc4 |《Chanson, La Légende De Djando Reinhardt》|2485
http://www.google.cn/music/album?id=B52d182bf45ecdb78 |《Django Et Compagnie》|2502
http://www.google.cn/music/album?id=B9a65001c783d9f63 |《Django In Rome 1949 - 1950 CD1》|2525
http://www.google.cn/music/album?id=B4b49b6acc4c53825 |《Django In Rome 1949 - 1950 CD2》|2546
http://www.google.cn/music/album?id=B74b868ed26efa510 |《Django In Rome 1949 - 1950 CD3》|2567
